strategy,request_id,time_seconds,osnr_dB,ber,log10_ber,min_sun_angle_deg,max_link_distance_km,load
Baseline,9,2100.0,14.601531110963638,4.7126808201232035e-07,-6.326731973088503,52.36120875704044,3899.742051799074,Low
Baseline,10,2100.0,15.323043117752977,4.965905934485761e-08,-7.30400151122541,24.467099542319115,3899.742051799072,Low
Baseline,1,2400.0,17.192045868181182,1.9594475024367676e-11,-10.707866367657909,67.09929513877464,3899.74205179907,Low
Baseline,2,2400.0,18.00131537544637,2.0489206549801612e-13,-12.688474859447265,35.382258778519194,3899.742051799073,Low
Baseline,3,2400.0,18.05253167639477,1.4913098205150192e-13,-12.82643212223291,54.87030642788646,3899.7420517990745,Low
Baseline,4,2400.0,16.092972059136304,2.9106965151697215e-09,-8.536003074072722,31.256382583467328,3899.742051799074,Low
Baseline,5,2400.0,20.235972250870407,3.2951575524004665e-21,-20.4821238155154,40.0724777088197,3899.7420517990786,Low
Baseline,6,2400.0,-21.317330929562097,0.4687386512618812,-0.32906923393943743,7.046095346350777,3899.742051799074,Low
Baseline,7,2400.0,16.022890925533897,3.847066411701797e-09,-8.414870316426049,45.05435042131392,3899.742051799073,Low
Baseline,8,2400.0,18.686331959173987,2.1236977284073736e-15,-14.67290729749011,40.0724777088197,3899.74205179907,Low
Baseline,9,2400.0,14.757246541722528,2.988373722175506e-07,-6.524565091150713,40.072477708819726,3899.7420517990795,Low
Baseline,10,2400.0,15.351706444827114,4.5064400481390854e-08,-7.346166402237704,25.580860607059233,3899.742051799071,Low
Baseline,1,2700.0,17.614049312800855,2.0161595760285194e-12,-11.695475097104516,51.287193578127564,3899.7420517990745,Low
Baseline,2,2700.0,18.247223489430812,4.308267595637919e-14,-13.365697329584904,51.57677443400213,3899.7420517990686,Low
Baseline,3,2700.0,18.51930949361123,6.913547083589735e-15,-14.160299075117683,61.51138889816433,3899.7420517990695,Low
Baseline,4,2700.0,16.085737465040737,2.9963322633963265e-09,-8.523410029370922,31.130025261061437,3899.742051799075,Low
Baseline,5,2700.0,20.474408154464044,2.678665952202522e-22,-21.57208144248014,34.667475088820034,3899.7420517990668,Low
Baseline,6,2700.0,15.655354361062221,1.54942613434264e-08,-7.8098291230142705,35.347817017490506,3899.7420517990745,Low
Baseline,7,2700.0,16.036968055508282,3.6387348396625293e-09,-8.439049590983466,40.454765194374225,3899.742051799071,Low
Baseline,8,2700.0,18.878760996156277,5.151418592942821e-16,-15.288073158871315,34.667475088820034,3899.7420517990745,Low
Baseline,9,2700.0,14.752603667187248,3.0299342626424064e-07,-6.518566793834777,34.66747508882009,3899.7420517990718,Low
Baseline,10,2700.0,15.294629815619778,5.46424394769141e-08,-7.2624699200931255,33.292953803181824,3899.7420517990777,Low
Baseline,1,3000.0,18.09285810649763,1.1582787975974573e-13,-12.936186893384946,28.150940514614287,3899.742051799068,Low
Baseline,2,3000.0,18.563553550375737,5.07920661808126e-15,-14.29420412005831,49.40644862867851,3899.7420517990754,Low
Baseline,3,3000.0,18.533607246833167,6.260015770390538e-15,-14.203424572702517,70.23575515806904,3899.742051799075,Low
Baseline,4,3000.0,16.081633575196157,3.0459615211276948e-09,-8.51627558729921,27.528792547230335,3899.7420517990754,Low
Baseline,5,3000.0,19.888476535113885,1.0093627130782842e-19,-18.995952742601588,47.548000020325894,3899.7420517990818,Low
Baseline,6,3000.0,15.577546393765738,2.0511503661313528e-08,-7.6880025011199695,17.947915242427207,3899.742051799076,Low
Baseline,7,3000.0,16.068856095266874,3.205498122669063e-09,-8.494104473128933,41.23474228654154,3899.7420517990754,Low
Baseline,8,3000.0,18.81435578010221,8.333309287435867e-16,-15.079182499209503,36.853264294311906,3899.742051799068,Low
Baseline,9,3000.0,14.596264113837607,4.784544892512384e-07,-6.320159366156844,28.15094051461426,3899.7420517990795,Low
Baseline,10,3000.0,15.163148433998007,8.439625543026085e-08,-7.073676822119033,44.763909269643634,3899.7420517990718,Low
Baseline,1,3300.0,18.438869605490847,1.2015434293350641e-14,-13.92026052716578,18.68125325650858,3899.742051799074,Low
Baseline,2,3300.0,18.81804873575209,8.108157209695688e-16,-15.091077839327642,38.62179706124599,3899.74205179907,Low
Baseline,3,3300.0,18.13820034685325,8.693701417820745e-14,-13.060795279583369,62.17610309333384,3899.7420517990677,Low
Baseline,4,3300.0,16.08248695414859,3.0355779503697255e-09,-8.51775861043367,28.243604936916906,3899.742051799073,Low
Baseline,5,3300.0,18.92270268717511,3.6952601109251767e-16,-15.432354986020556,43.432094869540926,3899.7420517990645,Low
Baseline,6,3300.0,15.363141848072637,4.334471988431317e-08,-7.363063799335903,28.243604936916906,3899.742051799074,Low
Baseline,7,3300.0,16.10401258072987,2.784451032199459e-09,-8.555260415279182,43.43209486954089,3899.742051799073,Low
Baseline,8,3300.0,18.557779169200547,5.28869342899356e-15,-14.276651607107556,25.952429686773456,3899.742051799074,Low
Baseline,9,3300.0,14.364873015146951,9.143897059027528e-07,-6.038868671824056,18.68125325650864,3899.742051799075,Low
Baseline,10,3300.0,15.044407777369607,1.236312319031833e-07,-6.907871803277878,46.49007409885812,3899.742051799071,Low
Baseline,1,3600.0,18.466602108645315,9.942084206414208e-15,-14.002522562839932,23.685123093578348,3899.742051799067,Low
Baseline,2,3600.0,18.885369675606867,4.901388947074306e-16,-15.309680832915697,49.430012551917784,3899.7420517990777,Low
Baseline,3,3600.0,17.593698188229055,2.2612193790515403e-12,-11.645657301215154,60.97278191600375,3899.742051799075,Low
Baseline,4,3600.0,16.08809806153507,2.9681318939574133e-09,-8.527516804354871,23.670168758460743,3899.742051799073,Low
Baseline,5,3600.0,18.07884041052508,1.2649638521690717e-13,-12.897921884786827,44.04651986260249,3899.742051799073,Low
Baseline,6,3600.0,15.135340790686433,9.237348807307328e-08,-7.034452656872029,37.30944636422266,3899.7420517990768,Low
Baseline,7,3600.0,16.133646874381256,2.470664516250213e-09,-8.607186222073777,44.0465198626024,3899.7420517990768,Low
Baseline,8,3600.0,18.24166227129337,4.467231099138023e-14,-13.349961579991934,23.685123093578348,3899.742051799067,Low
Baseline,9,3600.0,-26.235911522061205,0.482242558902533,-0.3167344648815925,8.397239888596426,3899.742051799081,Low
Baseline,10,3600.0,14.974023517015729,1.5429726788805903e-07,-6.811641763837336,55.65328096022265,3899.742051799071,Low
QoT-GLR,1,0.0,17.10117165160836,3.11012552988241e-11,-10.507222081765757,55.503552023212414,3899.7420517990718,Low
QoT-GLR,2,0.0,17.865041419758693,4.687108840774006e-13,-12.329094961478994,65.22082532346892,3899.7420517990704,Low
QoT-GLR,3,0.0,18.632759592489418,3.1162403037857615e-15,-14.506369059797882,49.624662212543505,3899.742051799069,Low
QoT-GLR,4,0.0,16.145988614597428,2.350099791161111e-09,-8.628913696098278,44.79712006265182,3899.742051799071,Low
QoT-GLR,5,0.0,20.212728516529644,4.178273351151577e-21,-20.379003150996834,25.65943579566764,3899.742051799072,Low
QoT-GLR,6,0.0,15.145061742770018,8.950825095154762e-08,-7.048136929180573,44.79712006265182,3899.742051799071,Low
QoT-GLR,7,0.0,16.145874937859748,2.3511844726360716e-09,-8.6287132950329,27.037770503182895,3899.7420517990704,Low
QoT-GLR,8,0.0,18.143904899374736,8.38372164570426e-14,-13.076563149461192,27.037770503182934,3899.742051799072,Low
QoT-GLR,9,0.0,14.472683238121371,6.789983091087854e-07,-6.168131307230011,25.659435795667655,3899.7420517990745,Low
QoT-GLR,10,0.0,14.83305461372914,2.3802031792766394e-07,-6.623385969047517,55.503552023212485,3899.742051799073,Low
QoT-GLR,1,300.0,17.02778283656862,4.485824337847851e-11,-10.348157737127785,46.865141888963215,3899.74205179907,Low
QoT-GLR,2,300.0,17.792160053840153,7.221198310824815e-13,-12.141390728109544,50.94496282560566,3899.742051799071,Low
QoT-GLR,3,300.0,18.36640322119917,1.9600621155030844e-14,-13.707730165381903,51.270202540539096,3899.742051799071,Low
QoT-GLR,4,300.0,16.145994906803754,2.350039765953578e-09,-8.628924788797162,42.68029360128082,3899.7420517990713,Low
QoT-GLR,5,300.0,19.25518309502656,2.6793326081134135e-17,-16.571973370414923,25.61543803264142,3899.7420517990713,Low
QoT-GLR,6,300.0,15.2005612048721,7.467325904780259e-08,-7.12683489386272,48.70057099086442,3899.7420517990713,Low
QoT-GLR,7,300.0,16.14359278885845,2.373060613572639e-09,-8.624691168734227,25.615438032641347,3899.742051799072,Low
QoT-GLR,8,300.0,18.399395512377843,1.5701538350123732e-14,-13.804057795728303,25.61543803264142,3899.742051799073,Low
QoT-GLR,9,300.0,14.500224387507574,6.285621926375585e-07,-6.201651744894453,18.98682045805983,3899.742051799075,Low
QoT-GLR,10,300.0,15.03217249427486,1.2851829867800578e-07,-6.891035032261857,56.19380183139698,3899.742051799075,Low
QoT-GLR,1,600.0,17.209012738638414,1.79561945476913e-11,-10.745785697849852,41.23852701712812,3899.7420517990718,Low
QoT-GLR,2,600.0,17.928685615319633,3.1947843519994365e-13,-12.495558451401498,38.835387493784665,3899.742051799073,Low
