load,strategy,request_id,hops,max_distance_km,max_fsl_dB,max_path_fsl_sum_dB,max_solar_penalty_dB,max_doppler_penalty_mdB,max_edfa_gain_deg_dB,max_edfa_nf_inc_dB,max_xt_noise_dBm,min_osnr_dB,osnr_range_dB,osnr_std_dB
Medium,Baseline,38,3,3174.668400402576,268.2115307008007,802.6095502966222,52.608883103051326,0.48487871343860883,0.22693136046765494,0.4538627209353099,-129.65750543977035,-21.458729969850843,45.35374980775083,11.461140618160027
Medium,Baseline,39,4,3899.7420517990813,269.9982809489243,1075.854939494156,4.666066544772587,0.4716675303596806,0.16615235550505486,0.3323047110101097,-128.9132045669508,17.047027823180397,1.4530135719717592,0.46102213239491163
Medium,Baseline,40,6,3899.7420517990813,269.9982809489243,1618.190235376691,0.0,0.4270452846169435,0.09369526127405178,0.18739052254810357,-132.58467217977727,14.584035008585225,0.45177185807245657,0.15594219648987626
Medium,Baseline,41,3,3175.6783989903684,268.2142936164711,802.4633392981069,0.0,0.5050318093193115,0.22078556233579377,0.44157112467158754,-129.01460067337166,19.710280270780196,4.312391593839884,1.4884020397376025
Medium,Baseline,42,10,3899.7420517990818,269.9982809489243,2690.004982035908,52.58534028121072,0.530504987073825,0.22078556233579377,0.44157112467158754,-128.87978137486812,-29.2225402825207,43.692751394178686,15.121184795631944
Medium,Baseline,43,6,3899.742051799079,269.9982809489243,1604.2641976205298,2.550229739237569,0.5053806597546459,0.20447545160379554,0.4089509032075911,-125.87472463074086,16.31743013874301,0.6357185707363868,0.22249400347451487
Medium,Baseline,44,10,3899.7420517990813,269.9982809489243,2685.0193412871677,50.02368912428494,0.530504987073825,0.21798229911669573,0.43596459823339145,-128.9033719712314,-27.959670322428025,42.152269317143045,13.572248837064912
Medium,Baseline,45,5,3899.7420517990813,269.9982809489243,1348.137103882067,0.0,0.530504987073825,0.09185830820214685,0.1837166164042937,-132.04935367201185,15.482813918122154,0.5215541397891386,0.17955806069224214
Medium,Baseline,46,8,3899.742051799083,269.9982809489243,2144.383245912863,52.1333204586259,0.4682642900163628,0.23216002878560996,0.4643200575712199,-126.12223297512753,-29.968309165059797,45.66919105376479,17.361594808523858
Medium,Baseline,47,11,3899.742051799075,269.9982809489243,2958.0514028326525,52.585337346864435,0.530504987073825,0.14994120706059447,0.29988241412118893,-128.87978138286294,-29.222550319850168,43.59821223586624,15.046258707815724
Medium,Baseline,48,3,3899.7420517990686,269.9982809489243,805.9025056065977,44.89444594326572,0.5256252489018152,0.052797379424449425,0.10559475884889885,-126.02427209884883,-22.726575307571565,43.66294444315049,11.410798010350105
Medium,Baseline,49,5,3899.74205179908,269.9982809489243,1348.1771669146772,51.69259755435563,0.5053806597546459,0.05637218414660954,0.11274436829321909,-127.12411199876979,-29.53008846873377,45.53780144339467,15.119159407915916
Medium,Baseline,50,9,3899.7420517990813,269.9982809489243,2421.676757315182,33.24851915607547,0.5175636329889266,0.22374553579892367,0.44749107159784735,-128.88633329175903,-11.09284570898225,25.720736027237358,6.723995399276011
Medium,QoT-GLR,1,6,3899.7420517990804,269.9982809489243,1607.6641967397595,2.5581962173426263,0.5053806597546459,0.17221059163549704,0.3444211832709941,-128.88502459141998,16.10647652073773,1.122135141512338,0.3602673188420718
Medium,QoT-GLR,2,6,3899.7420517990813,269.9982809489243,1604.4261096479104,2.5686544387894195,0.4349180566021577,0.15632971411294788,0.31265942822589576,-128.93684472557672,16.609542004112534,1.7098102577796972,0.5939228434253746
Medium,QoT-GLR,3,3,3899.7420517990754,269.9982809489243,809.9948428467728,0.0,0.004486974105735299,0.030425377443235764,0.06085075488647153,-146.94451081978593,17.395564244650757,0.0003012385314491439,9.983110512662123e-05
Medium,QoT-GLR,4,8,3899.742051799077,269.9982809489243,2136.1269639199386,51.51169843069659,0.46193626440743885,0.22693136046765494,0.4538627209353099,-128.8721282236941,-29.343722596556617,45.37860142311078,12.821628715568604
Medium,QoT-GLR,5,6,3899.7420517990754,269.9982809489243,1607.804550756836,0.0,0.49079052320625727,0.20447545160379554,0.4089509032075911,-128.94754680535692,16.012414174693646,1.2039446995299485,0.41399084291252586
Medium,QoT-GLR,6,2,3899.7420517990704,269.9982809489243,538.2089088953845,0.0,0.41483853513387653,0.0724755285957859,0.1449510571915718,-131.94714468221653,19.937167780986588,1.71079369538079,0.5888634824985371
Medium,QoT-GLR,7,5,3899.7420517990804,269.9982809489243,1342.4519424464077,33.24553746174158,0.4716675303596806,0.17465055183434974,0.3493011036686995,-129.24542310261094,-11.08479836913862,28.956133814523525,7.484122609919586
Medium,QoT-GLR,8,6,3899.742051799074,269.9982809489243,1609.4095997726029,0.0,0.4682642900163628,0.22002713786013386,0.44005427572026773,-128.87227389558353,15.640670009525934,0.5584600321505953,0.19008689337236123
Medium,QoT-GLR,9,4,3899.742051799076,269.9982809489243,1079.993123795697,50.072249675846294,0.005434695995171005,0.03324413575818682,0.06648827151637364,-146.94451081978593,-27.904290721201175,44.05027140470193,15.325054909359805
Medium,QoT-GLR,10,5,3899.742051799076,269.9982809489243,1348.205581078058,0.0,0.4530419897371583,0.10719841059549849,0.21439682119099698,-132.22572721872078,15.423826109764189,0.5465288303125604,0.18392691667870353
Medium,QoT-GLR,11,6,3899.7420517990813,269.9982809489243,1612.4808630654848,52.91284577870332,0.4270452846169435,0.1243777408156872,0.2487554816313744,-128.98214322968317,-21.836939675770026,38.286204577585394,10.058344581604127
Medium,QoT-GLR,12,7,3899.7420517990768,269.9982809489243,1882.6269404523455,0.0,0.5050318093193115,0.22140882459386396,0.4428176491877279,-128.8721282236942,14.480097603221775,0.8982389854274793,0.29991446581354464
Medium,QoT-GLR,13,2,3175.6369841633373,268.2141803408438,535.9042246576736,0.0,0.5256252489018152,0.05409214622409328,0.10818429244818656,-132.04487201731635,21.197485252305775,5.853882833504933,2.078380189741398
Medium,QoT-GLR,14,8,3899.742051799083,269.9982809489243,2152.4774249633333,52.912845365016764,0.4270452846169435,0.10568747205330141,0.21137494410660282,-128.98214322968306,-21.837285845585846,36.42282074940918,9.608499650179779
Medium,QoT-GLR,15,3,3899.7420517990727,269.9982809489243,804.2558799363437,0.0,0.44554833597318866,0.03647486893815617,0.07294973787631234,-131.8836314230677,19.07884025299081,1.1828245879566666,0.4197778017794396
Medium,QoT-GLR,16,8,3899.742051799083,269.9982809489243,2148.311611498888,7.898078006363107e-05,0.5104053749774847,0.22573413274476206,0.4514682654895241,-128.96236739781423,14.291942080012177,0.7426337213696641,0.2571391853301073
Medium,QoT-GLR,17,3,3899.7420517990704,269.9982809489243,806.4194379096037,52.009637224977666,0.48546417217221305,0.05852279148253137,0.11704558296506273,-131.91172003862843,-29.844539061665813,51.020056861498325,14.095573581280902
Medium,QoT-GLR,18,2,3899.7420517990763,269.9982809489243,539.9965618978486,50.03795873868199,0.005567919267665514,0.19365706193664645,0.3873141238732929,-149.95481077642575,-27.915979658850905,47.07358980078543,14.162259443714314
Medium,QoT-GLR,19,9,3899.7420517990818,269.9982809489243,2414.5701181537293,0.0,0.5050318093193115,0.23070351117214677,0.46140702234429354,-128.89953345259852,14.099497402446563,1.6878163702563214,0.5577161677420818
Medium,QoT-GLR,20,8,3899.742051799078,269.9982809489243,2154.0051315513433,52.93611667976997,0.3907538847596574,0.20843120167140006,0.4168624033428001,-128.8737684037561,-25.314810897090105,39.99156352992844,10.530214090316456
Medium,QoT-GLR,21,10,3899.742051799076,269.9982809489243,2681.440569362641,45.66917826481708,0.49859357584039227,0.22374553579892367,0.44749107159784735,-128.89320788222355,-23.50178733983725,37.34886887554832,9.895594147755867
Medium,QoT-GLR,22,4,3899.742051799075,269.9982809489243,1072.6425627434733,45.637464082372254,0.4682642900163628,0.21497118154972683,0.42994236309945366,-128.87588297665673,-23.539625094368578,43.53389972021084,11.339375716818507
Medium,QoT-GLR,23,10,3899.7420517990768,269.9982809489243,2683.6878215232614,52.50586619795948,0.530504987073825,0.14994120706059447,0.29988241412118893,-128.8877078271385,-21.35525931996459,35.50502102984253,9.36495778531493
Medium,QoT-GLR,24,5,3899.742051799076,269.9982809489243,1341.0054391177732,0.0,0.49859357584039227,0.22374553579892367,0.44749107159784735,-128.87588297665673,16.843793705561406,2.7504362657013672,0.9166142981933483
Medium,QoT-GLR,25,3,3899.7420517990804,269.9982809489243,808.1741429890238,0.0,0.48004793573181076,0.10568747205330141,0.21137494410660282,-132.7108359003871,17.92122148485023,0.9438307855513202,0.3233604006272309
Medium,QoT-GLR,26,3,3899.7420517990768,269.9982809489243,804.2166092396292,0.0,0.5050318093193115,0.20084082152229887,0.40168164304459775,-131.96093968181114,18.927449067663755,1.3175143616510425,0.4401141160045507
Medium,QoT-GLR,27,7,3899.7420517990813,269.9982809489243,1874.4848068942556,0.0,0.4270452846169435,0.23070351117214677,0.46140702234429354,-128.89953345259852,15.191319265395023,0.66934812788557,0.2126810634289353
Medium,QoT-GLR,28,6,3899.7420517990804,269.9982809489243,1618.1754478636014,0.0,0.5053806597546459,0.1420126130079736,0.2840252260159472,-131.8953245480599,14.599969439003338,0.4675971336287468,0.15507123981074394
Medium,QoT-GLR,29,6,3899.742051799079,269.9982809489243,1612.2544879291554,0.0,0.4514142217669826,0.20447545160379554,0.4089509032075911,-128.94754680535692,15.359941712298312,1.1288274135983762,0.37099117172942975
Medium,QoT-GLR,30,7,3899.74205179908,269.9982809489243,1886.4114446538538,52.01262145575104,0.4345823017164733,0.23091408599718957,0.46182817199437914,-128.89487153969264,-29.84464700388429,44.6864453277978,16.074112696412474
Medium,QoT-GLR,31,5,3899.742051799083,269.9982809489243,1344.9100480351585,49.28694756991673,0.37902132375222475,0.14295352442451456,0.2859070488490291,-131.92126546132286,-27.122420893083216,43.879934128040226,14.595113494727851
Medium,QoT-GLR,32,4,3899.7420517990754,269.9982809489243,1072.668736863916,0.0,0.4172985167114222,0.20159312512974023,0.40318625025948046,-129.07829440046322,17.772294460670757,2.2015695385449483,0.7424153320459747
Medium,QoT-GLR,33,7,3899.742051799081,269.9982809489243,1879.817712602351,0.0,0.530504987073825,0.22002713786013386,0.44005427572026773,-129.03457206067662,14.776709122824904,0.4920911121276248,0.16444063120471608
Medium,QoT-GLR,34,2,3899.7420517990718,269.9982809489243,538.1966802632467,44.89449314298245,0.403073448457108,0.06469425210516495,0.1293885042103299,-132.59350188730184,-22.726435569829796,44.33718200030745,11.543117847175159
Medium,QoT-GLR,35,3,3899.742051799082,269.9982809489243,809.9948428467728,0.0,0.005040512130594193,0.046524079232548754,0.09304815846509751,-146.94451081978593,17.377461524916043,0.018414141985068966,0.006848954100775014
Medium,QoT-GLR,36,4,3899.7420517990704,269.9982809489243,1073.9881016357633,0.0,0.4649337906084229,0.06992093675405553,0.13984187350811106,-128.87588297665673,17.53281533298542,2.867954624205126,0.9983201275418278
Medium,QoT-GLR,37,6,3899.7420517990818,269.9982809489243,1618.1860142725911,0.0,0.46193626440743885,0.22693136046765494,0.4538627209353099,-132.66780539641016,14.51804277474546,0.4416935348187323,0.1470738016289584
Medium,QoT-GLR,38,3,3174.668400402576,268.2115307008007,802.6095502966222,52.6088831031979,0.48487871343860883,0.22693136046765494,0.4538627209353099,-129.65750543977035,-21.458729969850843,45.353749808334356,11.461140618232193
Medium,QoT-GLR,39,4,3899.7420517990813,269.9982809489243,1075.854939494156,4.666066544772587,0.4716675303596806,0.16615235550505486,0.3323047110101097,-128.91320458438847,17.047027823205813,1.4530135720040818,0.461022132398077
Medium,QoT-GLR,40,6,3899.7420517990813,269.9982809489243,1618.190235376691,0.0,0.4270452846169435,0.09369526127405178,0.18739052254810357,-132.58467218169108,14.585518332704744,0.4519225698336733,0.15599532306562874
Medium,QoT-GLR,41,3,3175.6783989903684,268.2142936164711,802.4633392981069,0.0,0.5050318093193115,0.22078556233579377,0.44157112467158754,-129.01460068377443,19.71028027079116,4.312391594979683,1.4884020401015103
Medium,QoT-GLR,42,10,3899.742051799081,269.9982809489243,2687.135106812028,51.49337001918263,0.4345823017164733,0.23091408599718957,0.46182817199437914,-128.99983523010124,-29.362396386317062,43.63699497412462,12.16523253286765
Medium,QoT-GLR,43,6,3899.742051799079,269.9982809489243,1604.2641976205298,2.5581957554750367,0.5053806597546459,0.20447545160379554,0.4089509032075911,-128.8850245914201,16.3209970046927,0.6362814862918604,0.2226913559599669
Medium,QoT-GLR,44,10,3899.7420517990813,269.9982809489243,2679.4901590144327,6.043392701984516,0.49079052320625727,0.21978117568367628,0.43956235136735256,-128.88079999024643,13.50783869067956,0.27978309094172005,0.07001831368176287
Medium,QoT-GLR,45,5,3899.742051799083,269.9982809489243,1348.2044702766725,0.0,0.42798762701400656,0.09185830820214685,0.1837166164042937,-128.94754680535692,15.442773977656781,0.5661831162407545,0.19172935930372048
Medium,QoT-GLR,46,8,3899.7420517990713,269.9982809489243,2150.010131475875,0.0,0.4001848557408667,0.23216002878560996,0.4643200575712199,-129.13253293176734,14.184665957830205,2.2447812015324793,0.7635206028275796
Medium,QoT-GLR,47,11,3899.7420517990768,269.9982809489243,2950.2770593273945,4.6512017267569625,0.5175636329889266,0.14994120706059447,0.29988241412118893,-128.88633329175903,13.137201546969344,0.6655301839623995,0.24160654668107845
Medium,QoT-GLR,48,3,3899.7420517990686,269.9982809489243,805.9025056065977,44.89444594327071,0.5256252489018152,0.052797379424449425,0.10559475884889885,-129.0436101081448,-22.726574937426882,43.67155592313691,11.412759310340698
